file,function,lineno,args,body_length,has_return,has_docstring
repos\requests\src\requests\exceptions.py,__init__,34,1,3,False,True
repos\requests\src\requests\exceptions.py,__reduce__,44,1,2,True,True
repos\requests\src\requests\help.py,_implementation,34,0,4,True,True
repos\requests\src\requests\help.py,info,69,0,15,True,True
repos\requests\src\requests\help.py,main,128,0,2,False,True
repos\requests\src\requests\hooks.py,default_hooks,15,0,1,True,False
repos\requests\src\requests\hooks.py,dispatch_hook,22,3,5,True,True
repos\requests\src\requests\models.py,path_url,86,1,9,True,True
repos\requests\src\requests\models.py,_encode_params,107,1,2,True,True
repos\requests\src\requests\models.py,_encode_files,137,2,9,True,True
repos\requests\src\requests\models.py,register_hook,207,3,3,False,True
repos\requests\src\requests\models.py,deregister_hook,218,3,2,True,True
repos\requests\src\requests\models.py,__init__,258,11,16,False,False
repos\requests\src\requests\models.py,__repr__,292,1,1,True,False
repos\requests\src\requests\models.py,prepare,295,1,4,True,True
repos\requests\src\requests\models.py,__init__,334,1,7,False,False
repos\requests\src\requests\models.py,prepare,351,11,8,False,True
repos\requests\src\requests\models.py,__repr__,379,1,1,True,False
repos\requests\src\requests\models.py,copy,382,1,9,True,False
repos\requests\src\requests\models.py,prepare_method,393,2,3,False,True
repos\requests\src\requests\models.py,_get_idna_encoded_host,400,1,3,True,False
repos\requests\src\requests\models.py,prepare_url,409,3,18,True,True
repos\requests\src\requests\models.py,prepare_headers,483,2,3,False,True
repos\requests\src\requests\models.py,prepare_body,494,4,7,False,True
repos\requests\src\requests\models.py,prepare_content_length,572,2,2,False,True
repos\requests\src\requests\models.py,prepare_auth,588,3,3,False,True
repos\requests\src\requests\models.py,prepare_cookies,610,2,4,False,True
repos\requests\src\requests\models.py,prepare_hooks,630,2,3,False,True
repos\requests\src\requests\models.py,__init__,658,1,13,False,False
repos\requests\src\requests\models.py,__enter__,705,1,1,True,False
repos\requests\src\requests\models.py,__exit__,708,1,1,False,False
repos\requests\src\requests\models.py,__getstate__,711,1,2,True,False
repos\requests\src\requests\models.py,__setstate__,719,2,3,False,False
repos\requests\src\requests\models.py,__repr__,727,1,1,True,False
repos\requests\src\requests\models.py,__bool__,730,1,2,True,True
repos\requests\src\requests\models.py,__nonzero__,740,1,2,True,True
repos\requests\src\requests\models.py,__iter__,750,1,2,True,True
repos\requests\src\requests\models.py,ok,755,1,3,True,True
repos\requests\src\requests\models.py,is_redirect,770,1,2,True,True
repos\requests\src\requests\models.py,is_permanent_redirect,777,1,2,True,True
repos\requests\src\requests\models.py,next,785,1,2,True,True
repos\requests\src\requests\models.py,apparent_encoding,790,1,2,True,True
repos\requests\src\requests\models.py,iter_content,799,3,8,True,True
repos\requests\src\requests\models.py,generate,816,0,2,False,False
repos\requests\src\requests\models.py,iter_lines,857,4,4,False,True
repos\requests\src\requests\models.py,content,891,1,4,True,True
repos\requests\src\requests\models.py,text,910,1,7,True,True
repos\requests\src\requests\models.py,json,947,1,3,True,True
repos\requests\src\requests\models.py,links,983,1,5,True,True
repos\requests\src\requests\models.py,raise_for_status,999,1,5,False,True
repos\requests\src\requests\models.py,close,1028,1,4,False,True
repos\requests\src\requests\sessions.py,merge_setting,61,3,9,True,True
repos\requests\src\requests\sessions.py,merge_hooks,91,3,4,True,True
repos\requests\src\requests\sessions.py,get_redirect_target,107,2,3,True,True
repos\requests\src\requests\sessions.py,should_strip_auth,127,3,10,True,True
repos\requests\src\requests\sessions.py,resolve_redirects,159,9,5,False,True
repos\requests\src\requests\sessions.py,rebuild_auth,282,3,6,False,True
repos\requests\src\requests\sessions.py,rebuild_proxies,302,3,8,True,True
repos\requests\src\requests\sessions.py,rebuild_method,333,3,6,False,True
repos\requests\src\requests\sessions.py,__init__,390,1,14,False,False
repos\requests\src\requests\sessions.py,__enter__,451,1,1,True,False
repos\requests\src\requests\sessions.py,__exit__,454,1,1,False,False
